bedrooms,bathroom,balcony,parking,power_backup,bldg_age,furnishing,transit_score,Cement,Tiles,Wooden,Dont know,East,North,South,West,Bangalore,Chennai,Delhi,Faridabad,Ghaziabad,Gurgaon,Hyderabad,Mumbai,Noida,Pune,area,price
2,2,2.0,3,0,3,1,5.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.684611727667927,15.29711509888849
2,2,2.0,3,0,3,1,3.7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.003065458786462,15.64005985001532
2,2,3.0,3,1,3,2,5.3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.047517221357296,15.761420707019587
2,2,0.0,3,0,5,0,5.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.237059026124737,16.489659207390805
2,2,1.0,3,2,4,2,5.3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.118826249062078,16.489659207390805
4,5,2.0,3,0,3,1,8.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.006367567650246,16.213405830762646
1,1,0.0,1,0,4,0,5.3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5.991464547107982,16.38045991542581
4,18,0.0,1,0,4,1,8.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.612503371220562,17.15483253590834
4,7,0.0,1,0,2,0,8.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.783224016336037,16.454567887579532
2,2,2.0,2,0,4,1,5.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.142827401161621,16.349207371921707
2,2,2.0,3,1,4,1,8.2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.142827401161621,16.364955728889846
3,2,0.0,3,0,4,1,5.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.200424892944957,16.454567887579532
2,2,1.0,3,0,2,1,7.3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.13966033596492,16.204273347199372
2,2,1.0,3,2,2,1,8.2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.266128779556451,16.300417207752275
3,2,1.0,2,2,2,2,5.5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.73718007783463,17.182806387950748
4,4,1.0,2,2,2,2,7.7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.293549515060345,18.683045008419857
2,2,3.0,3,0,2,1,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.282073658093465,16.300417207752275
3,2,1.0,3,0,2,1,8.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.495541943884256,17.175885945106174
3,2,2.0,3,0,6,1,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.993932975223189,16.204273347199372
4,2,2.0,3,0,2,1,5.6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.824046010856292,17.24949776244942
3,4,2.0,3,0,4,2,7.6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.160518247477505,17.216707939626428
2,2,2.0,3,0,3,2,8.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.907755278982137,15.761420707019587
3,4,1.0,2,2,3,2,8.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.463936604468925,17.216707939626428
4,4,1.0,3,0,2,1,5.3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.783224016336037,18.1567151981179
3,3,2.0,3,2,2,2,5.3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.29641326877392,16.213405830762646
2,2,0.0,3,0,2,1,7.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.313220387090301,16.523560759066484
3,3,2.0,3,0,2,2,8.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.52294091807237,17.16541464523888
3,4,0.0,3,2,2,1,5.3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.568379267836522,16.860032995687696
3,4,1.0,3,0,3,1,8.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.463936604468925,17.034386382832476
4,1,1.0,1,0,3,2,4.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.1886891244442,16.012735135300492
2,2,1.0,3,2,6,2,5.1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.367077059881012,16.716932152047026
1,1,0.0,1,0,3,1,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.453624998892692,14.914122846632385
4,7,4.0,0,1,6,1,3.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.234410725718371,16.34123920227253
3,2,4.0,3,0,2,1,7.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.090076835776092,15.955576721460545
4,4,1.0,3,0,2,1,8.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.006367567650246,18.258161814454592
2,2,1.0,2,0,3,0,8.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.016609683894219,16.06680235657077
4,6,0.0,0,0,4,0,3.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.783224016336037,16.41820024340866
3,3,2.0,2,2,4,1,8.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.24422751560335,16.300417207752275
2,2,1.0,1,0,2,1,8.7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.907755278982137,16.06680235657077
